"","term","gene","human","mouse"
"12121","adult.epithelium.signature_Kazakevych_2017","Unc45a","UNC45A","Unc45a"
"12122","adult.epithelium.signature_Kazakevych_2017","Yif1b","YIF1B","Yif1b"
"12123","adult.epithelium.signature_Kazakevych_2017","Cant1","CANT1","Cant1"
"12124","adult.epithelium.signature_Kazakevych_2017","Tubb2a","TUBB2A","Tubb2a"
"12125","adult.epithelium.signature_Kazakevych_2017",NA,"MESDC1",NA
"12126","adult.epithelium.signature_Kazakevych_2017","Itpr2","ITPR2","Itpr2"
"12127","adult.epithelium.signature_Kazakevych_2017","Orai2","ORAI2","Orai2"
"12128","adult.epithelium.signature_Kazakevych_2017","Adck5","ADCK5","Adck5"
"12129","adult.epithelium.signature_Kazakevych_2017","Mif4gd","MIF4GD","Mif4gd"
"12130","adult.epithelium.signature_Kazakevych_2017",NA,"DEFA3",NA
"12131","adult.epithelium.signature_Kazakevych_2017",NA,"DEFA26",NA
"12132","adult.epithelium.signature_Kazakevych_2017","Cradd","CRADD","Cradd"
"12133","adult.epithelium.signature_Kazakevych_2017",NA,"2310044G17RIK",NA
"12134","adult.epithelium.signature_Kazakevych_2017","Acot8","ACOT8","Acot8"
"12135","adult.epithelium.signature_Kazakevych_2017","Rab11fip1","RAB11FIP1","Rab11fip1"
"12136","adult.epithelium.signature_Kazakevych_2017","Abcd4","ABCD4","Abcd4"
"12137","adult.epithelium.signature_Kazakevych_2017","Osbpl10","OSBPL10","Osbpl10"
"12138","adult.epithelium.signature_Kazakevych_2017","Glt28d2","GLT28D2","Glt28d2"
"12139","adult.epithelium.signature_Kazakevych_2017","Uprt","UPRT","Uprt"
"12140","adult.epithelium.signature_Kazakevych_2017","Cst3","CST3","Cst3"
"12141","adult.epithelium.signature_Kazakevych_2017","Vmp1","VMP1","Vmp1"
"12142","adult.epithelium.signature_Kazakevych_2017","Cdc14a","CDC14A","Cdc14a"
"12143","adult.epithelium.signature_Kazakevych_2017",NA,"FAM120AOS",NA
"12144","adult.epithelium.signature_Kazakevych_2017","Tmem53","TMEM53","Tmem53"
"12145","adult.epithelium.signature_Kazakevych_2017","Rbck1","RBCK1","Rbck1"
"12146","adult.epithelium.signature_Kazakevych_2017","Fam102a","FAM102A","Fam102a"
"12147","adult.epithelium.signature_Kazakevych_2017","4933431E20Rik","4933431E20RIK","4933431E20Rik"
"12148","adult.epithelium.signature_Kazakevych_2017","Dedd2","DEDD2","Dedd2"
"12149","adult.epithelium.signature_Kazakevych_2017","Ppp1r37","PPP1R37","Ppp1r37"
"12150","adult.epithelium.signature_Kazakevych_2017","Wdr45","WDR45","Wdr45"
"12151","adult.epithelium.signature_Kazakevych_2017","Immp2l","IMMP2L","Immp2l"
"12152","adult.epithelium.signature_Kazakevych_2017","Trak1","TRAK1","Trak1"
"12153","adult.epithelium.signature_Kazakevych_2017","Hist1h2ac","HIST1H2AC","Hist1h2ac"
"12154","adult.epithelium.signature_Kazakevych_2017","Hspa1a","HSPA1A","Hspa1a"
"12155","adult.epithelium.signature_Kazakevych_2017","Tbc1d12","TBC1D12","Tbc1d12"
"12156","adult.epithelium.signature_Kazakevych_2017",NA,"GM15292",NA
"12157","adult.epithelium.signature_Kazakevych_2017","Ypel3","YPEL3","Ypel3"
"12158","adult.epithelium.signature_Kazakevych_2017","Atf3","ATF3","Atf3"
"12159","adult.epithelium.signature_Kazakevych_2017","Dnajc4","DNAJC4","Dnajc4"
"12160","adult.epithelium.signature_Kazakevych_2017","Atg4c","ATG4C","Atg4c"
"12161","adult.epithelium.signature_Kazakevych_2017",NA,"GM9961",NA
"12162","adult.epithelium.signature_Kazakevych_2017","Hspa1b","HSPA1B","Hspa1b"
"12163","adult.epithelium.signature_Kazakevych_2017","Ndufaf3","NDUFAF3","Ndufaf3"
"12164","adult.epithelium.signature_Kazakevych_2017","Mxd4","MXD4","Mxd4"
"12165","adult.epithelium.signature_Kazakevych_2017","Rnf31","RNF31","Rnf31"
"12166","adult.epithelium.signature_Kazakevych_2017","Vwa8","VWA8","Vwa8"
"12167","adult.epithelium.signature_Kazakevych_2017","Hexa","HEXA","Hexa"
"12168","adult.epithelium.signature_Kazakevych_2017","Tmem82","TMEM82","Tmem82"
"12169","adult.epithelium.signature_Kazakevych_2017","Spsb1","SPSB1","Spsb1"
"12170","adult.epithelium.signature_Kazakevych_2017","Dusp5","DUSP5","Dusp5"
"12171","adult.epithelium.signature_Kazakevych_2017","Ppp1r15a","PPP1R15A","Ppp1r15a"
"12172","adult.epithelium.signature_Kazakevych_2017","Dexi","DEXI","Dexi"
"12173","adult.epithelium.signature_Kazakevych_2017","Prodh","PRODH","Prodh"
"12174","adult.epithelium.signature_Kazakevych_2017","Polg2","POLG2","Polg2"
"12175","adult.epithelium.signature_Kazakevych_2017","Mospd3","MOSPD3","Mospd3"
"12176","adult.epithelium.signature_Kazakevych_2017","Ncoa7","NCOA7","Ncoa7"
"12177","adult.epithelium.signature_Kazakevych_2017","Rufy3","RUFY3","Rufy3"
"12178","adult.epithelium.signature_Kazakevych_2017","Zfand2a","ZFAND2A","Zfand2a"
"12179","adult.epithelium.signature_Kazakevych_2017","Pxmp2","PXMP2","Pxmp2"
"12180","adult.epithelium.signature_Kazakevych_2017","Bckdha","BCKDHA","Bckdha"
"12181","adult.epithelium.signature_Kazakevych_2017","Qsox1","QSOX1","Qsox1"
"12182","adult.epithelium.signature_Kazakevych_2017","Zyx","ZYX","Zyx"
"12183","adult.epithelium.signature_Kazakevych_2017","A730017L22Rik","A730017L22RIK","A730017L22Rik"
"12184","adult.epithelium.signature_Kazakevych_2017","Ccdc134","CCDC134","Ccdc134"
"12185","adult.epithelium.signature_Kazakevych_2017","Prkd2","PRKD2","Prkd2"
"12186","adult.epithelium.signature_Kazakevych_2017","Hpd","HPD","Hpd"
"12187","adult.epithelium.signature_Kazakevych_2017","Acta1","ACTA1","Acta1"
"12188","adult.epithelium.signature_Kazakevych_2017",NA,"1110054M08RIK",NA
"12189","adult.epithelium.signature_Kazakevych_2017","Klf6","KLF6","Klf6"
"12190","adult.epithelium.signature_Kazakevych_2017","Lrrc8b","LRRC8B","Lrrc8b"
"12191","adult.epithelium.signature_Kazakevych_2017","Trim21","TRIM21","Trim21"
"12192","adult.epithelium.signature_Kazakevych_2017","Amigo3","AMIGO3","Amigo3"
"12193","adult.epithelium.signature_Kazakevych_2017",NA,"EFCAB4B",NA
"12194","adult.epithelium.signature_Kazakevych_2017","Rsad1","RSAD1","Rsad1"
"12195","adult.epithelium.signature_Kazakevych_2017","Tmem143","TMEM143","Tmem143"
"12196","adult.epithelium.signature_Kazakevych_2017","Rps6ka5","RPS6KA5","Rps6ka5"
"12197","adult.epithelium.signature_Kazakevych_2017",NA,"COX6B2",NA
"12198","adult.epithelium.signature_Kazakevych_2017","Atf4","ATF4","Atf4"
"12199","adult.epithelium.signature_Kazakevych_2017","Dusp23","DUSP23","Dusp23"
"12200","adult.epithelium.signature_Kazakevych_2017","Angptl4","ANGPTL4","Angptl4"
"12201","adult.epithelium.signature_Kazakevych_2017","Bst2","BST2","Bst2"
"12202","adult.epithelium.signature_Kazakevych_2017","Hpse","HPSE","Hpse"
"12203","adult.epithelium.signature_Kazakevych_2017","Creb3l4","CREB3L4","Creb3l4"
"12204","adult.epithelium.signature_Kazakevych_2017","Ifrd1","IFRD1","Ifrd1"
"12205","adult.epithelium.signature_Kazakevych_2017","Itpr1","ITPR1","Itpr1"
"12206","adult.epithelium.signature_Kazakevych_2017","Dnajb7","DNAJB7","Dnajb7"
"12207","adult.epithelium.signature_Kazakevych_2017","Tuft1","TUFT1","Tuft1"
"12208","adult.epithelium.signature_Kazakevych_2017","Rasd1","RASD1","Rasd1"
"12209","adult.epithelium.signature_Kazakevych_2017","Ier2","IER2","Ier2"
"12210","adult.epithelium.signature_Kazakevych_2017","Camk2n1","CAMK2N1","Camk2n1"
"12211","adult.epithelium.signature_Kazakevych_2017","Cox8a","COX8A","Cox8a"
"12212","adult.epithelium.signature_Kazakevych_2017","Fam166a","FAM166A","Fam166a"
"12213","adult.epithelium.signature_Kazakevych_2017","Dnajb13","DNAJB13","Dnajb13"
"12214","adult.epithelium.signature_Kazakevych_2017",NA,"MIR425",NA
"12215","adult.epithelium.signature_Kazakevych_2017",NA,"MIR5107",NA
"12216","adult.epithelium.signature_Kazakevych_2017",NA,"MIR1968",NA
"12217","adult.epithelium.signature_Kazakevych_2017","2310010J17Rik","2310010J17RIK","2310010J17Rik"
"12218","fetal.epithelium.signature.all_Kazakevych_2017","P4ha3","P4HA3","P4ha3"
"12219","fetal.epithelium.signature.all_Kazakevych_2017",NA,"KCNQ3",NA
"12220","fetal.epithelium.signature.all_Kazakevych_2017","Prtg","PRTG","Prtg"
"12221","fetal.epithelium.signature.all_Kazakevych_2017","Rcan2","RCAN2","Rcan2"
"12222","fetal.epithelium.signature.all_Kazakevych_2017","Ltbp1","LTBP1","Ltbp1"
"12223","fetal.epithelium.signature.all_Kazakevych_2017","Ctnnd2","CTNND2","Ctnnd2"
"12224","fetal.epithelium.signature.all_Kazakevych_2017","Slc2a3","SLC2A3","Slc2a3"
"12225","fetal.epithelium.signature.all_Kazakevych_2017","Pth1r","PTH1R","Pth1r"
"12226","fetal.epithelium.signature.all_Kazakevych_2017","Kcnk2","KCNK2","Kcnk2"
"12227","fetal.epithelium.signature.all_Kazakevych_2017",NA,"TDH",NA
"12228","fetal.epithelium.signature.all_Kazakevych_2017","Vcan","VCAN","Vcan"
"12229","fetal.epithelium.signature.all_Kazakevych_2017","Igdcc3","IGDCC3","Igdcc3"
"12230","fetal.epithelium.signature.all_Kazakevych_2017","Fat3","FAT3","Fat3"
"12231","fetal.epithelium.signature.all_Kazakevych_2017","Cyp26b1","CYP26B1","Cyp26b1"
"12232","fetal.epithelium.signature.all_Kazakevych_2017","Sept3","SEPT3","Sept3"
"12233","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LRRC7",NA
"12234","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ZIM1",NA
"12235","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CNKSR2",NA
"12236","fetal.epithelium.signature.all_Kazakevych_2017","Agtpbp1","AGTPBP1","Agtpbp1"
"12237","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CDH2",NA
"12238","fetal.epithelium.signature.all_Kazakevych_2017","Mmp11","MMP11","Mmp11"
"12239","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SPTA1",NA
"12240","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ZFP521",NA
"12241","fetal.epithelium.signature.all_Kazakevych_2017","F2r","F2R","F2r"
"12242","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LAMA2",NA
"12243","fetal.epithelium.signature.all_Kazakevych_2017","Rgs9bp","RGS9","Rgs9bp"
"12244","fetal.epithelium.signature.all_Kazakevych_2017","Rarb","RARB","Rarb"
"12245","fetal.epithelium.signature.all_Kazakevych_2017","Limch1","LIMCH1","Limch1"
"12246","fetal.epithelium.signature.all_Kazakevych_2017","Kif26b","KIF26B","Kif26b"
"12247","fetal.epithelium.signature.all_Kazakevych_2017","Il1r1","IL1R1","Il1r1"
"12248","fetal.epithelium.signature.all_Kazakevych_2017","Sh3kbp1","SH3KBP1","Sh3kbp1"
"12249","fetal.epithelium.signature.all_Kazakevych_2017","Tuba1a","TUBA1A","Tuba1a"
"12250","fetal.epithelium.signature.all_Kazakevych_2017",NA,"UNC5D",NA
"12251","fetal.epithelium.signature.all_Kazakevych_2017","D630045J12Rik","D630045J12RIK","D630045J12Rik"
"12252","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PCDH7",NA
"12253","fetal.epithelium.signature.all_Kazakevych_2017","Scube3","SCUBE3","Scube3"
"12254","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SALL4",NA
"12255","fetal.epithelium.signature.all_Kazakevych_2017","Nepn","NEPN","Nepn"
"12256","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SATB1",NA
"12257","fetal.epithelium.signature.all_Kazakevych_2017","Mid1","MID1","Mid1"
"12258","fetal.epithelium.signature.all_Kazakevych_2017","Alpl","ALPL","Alpl"
"12259","fetal.epithelium.signature.all_Kazakevych_2017","Hip1","HIP1","Hip1"
"12260","fetal.epithelium.signature.all_Kazakevych_2017","Col4a1","COL4A1","Col4a1"
"12261","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GABRB3",NA
"12262","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SERPINA1D",NA
"12263","fetal.epithelium.signature.all_Kazakevych_2017","Dbn1","DBN1","Dbn1"
"12264","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ARHGAP28",NA
"12265","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ELOVL2",NA
"12266","fetal.epithelium.signature.all_Kazakevych_2017","Wnk3","WNK3","Wnk3"
"12267","fetal.epithelium.signature.all_Kazakevych_2017",NA,"D430019H16RIK",NA
"12268","fetal.epithelium.signature.all_Kazakevych_2017","Zdbf2","ZDBF2","Zdbf2"
"12269","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ST8SIA4",NA
"12270","fetal.epithelium.signature.all_Kazakevych_2017","Fn1","FN1","Fn1"
"12271","fetal.epithelium.signature.all_Kazakevych_2017","Dusp9","DUSP9","Dusp9"
"12272","fetal.epithelium.signature.all_Kazakevych_2017","Mcf2l","MCF2","Mcf2l"
"12273","fetal.epithelium.signature.all_Kazakevych_2017","Trabd2b","TRABD2B","Trabd2b"
"12274","fetal.epithelium.signature.all_Kazakevych_2017","Tead2","TEAD2","Tead2"
"12275","fetal.epithelium.signature.all_Kazakevych_2017",NA,"BC068157",NA
"12276","fetal.epithelium.signature.all_Kazakevych_2017",NA,"IGFBP2",NA
"12277","fetal.epithelium.signature.all_Kazakevych_2017","Dkk3","DKK3","Dkk3"
"12278","fetal.epithelium.signature.all_Kazakevych_2017","Col4a2","COL4A2","Col4a2"
"12279","fetal.epithelium.signature.all_Kazakevych_2017",NA,"2610307P16RIK",NA
"12280","fetal.epithelium.signature.all_Kazakevych_2017","Tgfbr3l","TGFBR3","Tgfbr3l"
"12281","fetal.epithelium.signature.all_Kazakevych_2017",NA,"RIMKLB",NA
"12282","fetal.epithelium.signature.all_Kazakevych_2017","St6galnac3","ST6GALNAC3","St6galnac3"
"12283","fetal.epithelium.signature.all_Kazakevych_2017",NA,"RFX6",NA
"12284","fetal.epithelium.signature.all_Kazakevych_2017","B3gnt5","B3GNT5","B3gnt5"
"12285","fetal.epithelium.signature.all_Kazakevych_2017","Clmn","CLMN","Clmn"
"12286","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ST6GAL2",NA
"12287","fetal.epithelium.signature.all_Kazakevych_2017","Basp1","BASP1","Basp1"
"12288","fetal.epithelium.signature.all_Kazakevych_2017",NA,"TENM3",NA
"12289","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SYT9",NA
"12290","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GLDC",NA
"12291","fetal.epithelium.signature.all_Kazakevych_2017","Enpp1","ENPP1","Enpp1"
"12292","fetal.epithelium.signature.all_Kazakevych_2017",NA,"DCHS1",NA
"12293","fetal.epithelium.signature.all_Kazakevych_2017",NA,"TMEM47",NA
"12294","fetal.epithelium.signature.all_Kazakevych_2017","Zfp462","ZFP462","Zfp462"
"12295","fetal.epithelium.signature.all_Kazakevych_2017","Tubb4a","TUBB4A","Tubb4a"
"12296","fetal.epithelium.signature.all_Kazakevych_2017",NA,"FIGN",NA
"12297","fetal.epithelium.signature.all_Kazakevych_2017","Cadm1","CADM1","Cadm1"
"12298","fetal.epithelium.signature.all_Kazakevych_2017","Dapk1","DAPK1","Dapk1"
"12299","fetal.epithelium.signature.all_Kazakevych_2017",NA,"FMN2",NA
"12300","fetal.epithelium.signature.all_Kazakevych_2017","9230105E05Rik","9230105E05RIK","9230105E05Rik"
"12301","fetal.epithelium.signature.all_Kazakevych_2017","C2cd3","C2CD3","C2cd3"
"12302","fetal.epithelium.signature.all_Kazakevych_2017","Airn","AIRN","Airn"
"12303","fetal.epithelium.signature.all_Kazakevych_2017","Car14","CAR14","Car14"
"12304","fetal.epithelium.signature.all_Kazakevych_2017","Tub","TUB","Tub"
"12305","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SLITRK4",NA
"12306","fetal.epithelium.signature.all_Kazakevych_2017","Ggta1","GGTA1","Ggta1"
"12307","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SHH",NA
"12308","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SHISA6",NA
"12309","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GM4975",NA
"12310","fetal.epithelium.signature.all_Kazakevych_2017","Igsf10","IGSF10","Igsf10"
"12311","fetal.epithelium.signature.all_Kazakevych_2017","Zfp423","ZFP423","Zfp423"
"12312","fetal.epithelium.signature.all_Kazakevych_2017","Vwa2","VWA2","Vwa2"
"12313","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SNTG1",NA
"12314","fetal.epithelium.signature.all_Kazakevych_2017","Tmod2","TMOD2","Tmod2"
"12315","fetal.epithelium.signature.all_Kazakevych_2017",NA,"WDR86",NA
"12316","fetal.epithelium.signature.all_Kazakevych_2017",NA,"HDGFRP3",NA
"12317","fetal.epithelium.signature.all_Kazakevych_2017",NA,"TET1",NA
"12318","fetal.epithelium.signature.all_Kazakevych_2017","Slc38a4","SLC38A4","Slc38a4"
"12319","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PDPN",NA
"12320","fetal.epithelium.signature.all_Kazakevych_2017","Cdh3","CDH3","Cdh3"
"12321","fetal.epithelium.signature.all_Kazakevych_2017",NA,"MUM1L1",NA
"12322","fetal.epithelium.signature.all_Kazakevych_2017","Enah","ENAH","Enah"
"12323","fetal.epithelium.signature.all_Kazakevych_2017","Angptl2","ANGPTL2","Angptl2"
"12324","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ASXL3",NA
"12325","fetal.epithelium.signature.all_Kazakevych_2017","Ptpn13","PTPN13","Ptpn13"
"12326","fetal.epithelium.signature.all_Kazakevych_2017","Slco5a1","SLCO5A1","Slco5a1"
"12327","fetal.epithelium.signature.all_Kazakevych_2017",NA,"QK",NA
"12328","fetal.epithelium.signature.all_Kazakevych_2017","Nnat","NNAT","Nnat"
"12329","fetal.epithelium.signature.all_Kazakevych_2017","Ank2","ANK2","Ank2"
"12330","fetal.epithelium.signature.all_Kazakevych_2017","Ctxn1","CTXN1","Ctxn1"
"12331","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CECR2",NA
"12332","fetal.epithelium.signature.all_Kazakevych_2017","Irs1","IRS1","Irs1"
"12333","fetal.epithelium.signature.all_Kazakevych_2017","Neto2","NETO2","Neto2"
"12334","fetal.epithelium.signature.all_Kazakevych_2017",NA,"EDIL3",NA
"12335","fetal.epithelium.signature.all_Kazakevych_2017","Robo1","ROBO1","Robo1"
"12336","fetal.epithelium.signature.all_Kazakevych_2017","Dmxl2","DMXL2","Dmxl2"
"12337","fetal.epithelium.signature.all_Kazakevych_2017","Agbl2","AGBL2","Agbl2"
"12338","fetal.epithelium.signature.all_Kazakevych_2017",NA,"EFS",NA
"12339","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PCDH11X",NA
"12340","fetal.epithelium.signature.all_Kazakevych_2017","Cib2","CIB2","Cib2"
"12341","fetal.epithelium.signature.all_Kazakevych_2017","Vangl2","VANGL2","Vangl2"
"12342","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PYGO1",NA
"12343","fetal.epithelium.signature.all_Kazakevych_2017",NA,"SEMA5B",NA
"12344","fetal.epithelium.signature.all_Kazakevych_2017","Cysltr2","CYSLTR2","Cysltr2"
"12345","fetal.epithelium.signature.all_Kazakevych_2017",NA,"4933400A11RIK",NA
"12346","fetal.epithelium.signature.all_Kazakevych_2017","Sh3bgr","SH3BGR","Sh3bgr"
"12347","fetal.epithelium.signature.all_Kazakevych_2017","Rnf144a","RNF144A","Rnf144a"
"12348","fetal.epithelium.signature.all_Kazakevych_2017","Srgap1","SRGAP1","Srgap1"
"12349","fetal.epithelium.signature.all_Kazakevych_2017","Tcf7l1","TCF7L1","Tcf7l1"
"12350","fetal.epithelium.signature.all_Kazakevych_2017","Usp29","USP29","Usp29"
"12351","fetal.epithelium.signature.all_Kazakevych_2017","Reck","RECK","Reck"
"12352","fetal.epithelium.signature.all_Kazakevych_2017","Mex3b","MEX3B","Mex3b"
"12353","fetal.epithelium.signature.all_Kazakevych_2017","Onecut1","ONECUT1","Onecut1"
"12354","fetal.epithelium.signature.all_Kazakevych_2017","Nt5dc3","NT5DC3","Nt5dc3"
"12355","fetal.epithelium.signature.all_Kazakevych_2017",NA,"IGFBP5",NA
"12356","fetal.epithelium.signature.all_Kazakevych_2017","Shisa4","SHISA4","Shisa4"
"12357","fetal.epithelium.signature.all_Kazakevych_2017","Gucy1a2","GUCY1A2","Gucy1a2"
"12358","fetal.epithelium.signature.all_Kazakevych_2017","Slc25a21","SLC25A21","Slc25a21"
"12359","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GPC6",NA
"12360","fetal.epithelium.signature.all_Kazakevych_2017","Aif1l","AIF1L","Aif1l"
"12361","fetal.epithelium.signature.all_Kazakevych_2017",NA,"TMEM215",NA
"12362","fetal.epithelium.signature.all_Kazakevych_2017",NA,"MFAP2",NA
"12363","fetal.epithelium.signature.all_Kazakevych_2017","Myo5a","MYO5A","Myo5a"
"12364","fetal.epithelium.signature.all_Kazakevych_2017","Arhgap22","ARHGAP22","Arhgap22"
"12365","fetal.epithelium.signature.all_Kazakevych_2017",NA,"FGFR1",NA
"12366","fetal.epithelium.signature.all_Kazakevych_2017","Abca8b","ABCA8B","Abca8b"
"12367","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ADAMTS12",NA
"12368","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LSAMP",NA
"12369","fetal.epithelium.signature.all_Kazakevych_2017",NA,"D930028M14RIK",NA
"12370","fetal.epithelium.signature.all_Kazakevych_2017","Samd5","SAMD5","Samd5"
"12371","fetal.epithelium.signature.all_Kazakevych_2017","Afap1l2","AFAP1L2","Afap1l2"
"12372","fetal.epithelium.signature.all_Kazakevych_2017","Ccdc85a","CCDC85A","Ccdc85a"
"12373","fetal.epithelium.signature.all_Kazakevych_2017","Timp2","TIMP2","Timp2"
"12374","fetal.epithelium.signature.all_Kazakevych_2017","Dlg4","DLG4","Dlg4"
"12375","fetal.epithelium.signature.all_Kazakevych_2017","Cep170","CEP170","Cep170"
"12376","fetal.epithelium.signature.all_Kazakevych_2017","Dhx40","DHX40","Dhx40"
"12377","fetal.epithelium.signature.all_Kazakevych_2017","Eml1","EML1","Eml1"
"12378","fetal.epithelium.signature.all_Kazakevych_2017","Adamts17","ADAMTS17","Adamts17"
"12379","fetal.epithelium.signature.all_Kazakevych_2017","Robo2","ROBO2","Robo2"
"12380","fetal.epithelium.signature.all_Kazakevych_2017","Efna2","EFNA2","Efna2"
"12381","fetal.epithelium.signature.all_Kazakevych_2017","Spock3","SPOCK3","Spock3"
"12382","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PLXDC2",NA
"12383","fetal.epithelium.signature.all_Kazakevych_2017","Gli3","GLI3","Gli3"
"12384","fetal.epithelium.signature.all_Kazakevych_2017","Frem2","FREM2","Frem2"
"12385","fetal.epithelium.signature.all_Kazakevych_2017",NA,"KYNU",NA
"12386","fetal.epithelium.signature.all_Kazakevych_2017","Rbpms","RBPMS","Rbpms"
"12387","fetal.epithelium.signature.all_Kazakevych_2017","Rfx2","RFX2","Rfx2"
"12388","fetal.epithelium.signature.all_Kazakevych_2017","Rnf122","RNF122","Rnf122"
"12389","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GJC1",NA
"12390","fetal.epithelium.signature.all_Kazakevych_2017","Kirrel","KIRREL","Kirrel"
"12391","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CLGN",NA
"12392","fetal.epithelium.signature.all_Kazakevych_2017",NA,"ARHGAP24",NA
"12393","fetal.epithelium.signature.all_Kazakevych_2017",NA,"AFF2",NA
"12394","fetal.epithelium.signature.all_Kazakevych_2017",NA,"RCN3",NA
"12395","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CLIP3",NA
"12396","fetal.epithelium.signature.all_Kazakevych_2017",NA,"LRP3",NA
"12397","fetal.epithelium.signature.all_Kazakevych_2017","Igf2bp1","IGF2BP1","Igf2bp1"
"12398","fetal.epithelium.signature.all_Kazakevych_2017","Dennd2a","DENND2A","Dennd2a"
"12399","fetal.epithelium.signature.all_Kazakevych_2017","Dtna","DTNA","Dtna"
"12400","fetal.epithelium.signature.all_Kazakevych_2017","Foxa1","FOXA1","Foxa1"
"12401","fetal.epithelium.signature.all_Kazakevych_2017","Zcchc18","ZCCHC18","Zcchc18"
"12402","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PITX1",NA
"12403","fetal.epithelium.signature.all_Kazakevych_2017","Mreg","MREG","Mreg"
"12404","fetal.epithelium.signature.all_Kazakevych_2017","Cxcr4","CXCR4","Cxcr4"
"12405","fetal.epithelium.signature.all_Kazakevych_2017",NA,"EBF4",NA
"12406","fetal.epithelium.signature.all_Kazakevych_2017",NA,"PEG3",NA
"12407","fetal.epithelium.signature.all_Kazakevych_2017","Fzd3","FZD3","Fzd3"
"12408","fetal.epithelium.signature.all_Kazakevych_2017","Ifit2","IFIT2","Ifit2"
"12409","fetal.epithelium.signature.all_Kazakevych_2017","Pitx2","PITX2","Pitx2"
"12410","fetal.epithelium.signature.all_Kazakevych_2017","Sall2","SALL2","Sall2"
"12411","fetal.epithelium.signature.all_Kazakevych_2017",NA,"CLDN6",NA
"12412","fetal.epithelium.signature.all_Kazakevych_2017","Gprc5c","GPRC5C","Gprc5c"
"12413","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GRIA3",NA
"12414","fetal.epithelium.signature.all_Kazakevych_2017","Slc35f1","SLC35F1","Slc35f1"
"12415","fetal.epithelium.signature.all_Kazakevych_2017","St6gal1","ST6GAL1","St6gal1"
"12416","fetal.epithelium.signature.all_Kazakevych_2017","Cpxm1","CPXM1","Cpxm1"
"12417","fetal.epithelium.signature.all_Kazakevych_2017","Prom2","PROM2","Prom2"
"12418","fetal.epithelium.signature.all_Kazakevych_2017",NA,"WASF3",NA
"12419","fetal.epithelium.signature.all_Kazakevych_2017","Flrt2","FLRT2","Flrt2"
"12420","fetal.epithelium.signature.all_Kazakevych_2017",NA,"HAPLN1",NA
"12421","fetal.epithelium.signature.all_Kazakevych_2017","Frmd6","FRMD6","Frmd6"
"12422","fetal.epithelium.signature.all_Kazakevych_2017","Frmd5","FRMD5","Frmd5"
"12423","fetal.epithelium.signature.all_Kazakevych_2017",NA,"HDX",NA
"12424","fetal.epithelium.signature.all_Kazakevych_2017","Spock2","SPOCK2","Spock2"
"12425","fetal.epithelium.signature.all_Kazakevych_2017","H2afy2","H2AFY2","H2afy2"
"12426","fetal.epithelium.signature.all_Kazakevych_2017","Vash2","VASH2","Vash2"
"12427","fetal.epithelium.signature.all_Kazakevych_2017","Sox11","SOX11","Sox11"
"12428","fetal.epithelium.signature.all_Kazakevych_2017","Apba2","APBA2","Apba2"
"12429","fetal.epithelium.signature.all_Kazakevych_2017","Prokr1","PROKR1","Prokr1"
"12430","fetal.epithelium.signature.all_Kazakevych_2017",NA,"GPR125",NA
"12431","fetal.epithelium.signature.all_Kazakevych_2017","Asap3","ASAP3","Asap3"
"12432","fetal.epithelium.signature.all_Kazakevych_2017","Fam167a","FAM167A","Fam167a"
"12433","fetal.epithelium.signature.all_Kazakevych_2017","Chn1","CHN1","Chn1"
